date,area,category
2026-09-11,下連雀2丁目,ペットボトル
2026-09-14,下連雀2丁目,燃やせるごみ
2026-09-15,下連雀2丁目,プラスチック・有害ごみ
2026-09-16,下連雀2丁目,燃やせないごみ
2026-09-17,下連雀2丁目,燃やせるごみ
2026-09-18,下連雀2丁目,古紙・古着
2026-09-18,下連雀2丁目,空きびん・缶
2026-09-21,下連雀2丁目,燃やせるごみ
2026-09-22,下連雀2丁目,プラスチック・有害ごみ
2026-09-24,下連雀2丁目,燃やせるごみ
2026-09-25,下連雀2丁目,古紙・古着
2026-09-25,下連雀2丁目,ペットボトル
2026-09-28,下連雀2丁目,燃やせるごみ
2026-09-29,下連雀2丁目,プラスチック・有害ごみ
2026-10-01,下連雀2丁目,燃やせるごみ
2026-10-02,下連雀2丁目,古紙・古着
2026-10-02,下連雀2丁目,空きびん・缶
2026-10-05,下連雀2丁目,燃やせるごみ
2026-10-06,下連雀2丁目,プラスチック・有害ごみ
2026-10-07,下連雀2丁目,燃やせないごみ
2026-10-08,下連雀2丁目,燃やせるごみ
2026-10-09,下連雀2丁目,古紙・古着
2026-10-09,下連雀2丁目,ペットボトル
2026-10-12,下連雀2丁目,燃やせるごみ
2026-10-13,下連雀2丁目,プラスチック・有害ごみ
2026-10-15,下連雀2丁目,燃やせるごみ
2026-10-16,下連雀2丁目,古紙・古着
2026-10-16,下連雀2丁目,空きびん・缶
2026-10-19,下連雀2丁目,燃やせるごみ
2026-10-20,下連雀2丁目,プラスチック・有害ごみ
2026-10-21,下連雀2丁目,燃やせないごみ
2026-10-22,下連雀2丁目,燃やせるごみ
2026-10-23,下連雀2丁目,古紙・古着
2026-10-23,下連雀2丁目,ペットボトル
2026-10-26,下連雀2丁目,燃やせるごみ
2026-10-27,下連雀2丁目,プラスチック・有害ごみ
2026-10-29,下連雀2丁目,燃やせるごみ
2026-10-30,下連雀2丁目,古紙・古着
2026-11-02,下連雀2丁目,燃やせるごみ
2026-11-03,下連雀2丁目,プラスチック・有害ごみ
2026-11-04,下連雀2丁目,燃やせないごみ
2026-11-05,下連雀2丁目,燃やせるごみ
2026-11-06,下連雀2丁目,古紙・古着
